titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time,status_code,request_time
Product 1,4,Lorem ipsum dolor sit amet for Product 1,406558,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg']",1688,200,1674
Product 2,3,Lorem ipsum dolor sit amet for Product 2,140498,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg']",988,200,980
Product 3,3,Lorem ipsum dolor sit amet for Product 3,364171,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/05.jpg']",1029,200,1021
Product 4,5,Lorem ipsum dolor sit amet for Product 4,949962,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg']",1115,200,1107
Product 5,3,Lorem ipsum dolor sit amet for Product 5,829538,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg']",1070,200,1062
Product 6,1,Lorem ipsum dolor sit amet for Product 6,382860,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/05.jpg']",1040,200,1031
Product 7,2,Lorem ipsum dolor sit amet for Product 7,168256,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg']",1014,200,1006
Product 8,1,Lorem ipsum dolor sit amet for Product 8,376260,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg']",1042,200,1032
Product 9,1,Lorem ipsum dolor sit amet for Product 9,261993,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg']",1026,200,1019
Product 10,4,Lorem ipsum dolor sit amet for Product 10,779439,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg']",1024,200,1015
Product 11,2,Lorem ipsum dolor sit amet for Product 11,814413,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg']",1020,200,1012
Product 12,2,Lorem ipsum dolor sit amet for Product 12,891606,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg']",1006,200,997
Product 13,4,Lorem ipsum dolor sit amet for Product 13,851408,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/05.jpg']",1021,200,1012
Product 14,3,Lorem ipsum dolor sit amet for Product 14,414995,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg']",1033,200,1024
Product 15,3,Lorem ipsum dolor sit amet for Product 15,532494,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg']",1018,200,1010
Product 16,5,Lorem ipsum dolor sit amet for Product 16,393415,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg']",1024,200,1014
Product 17,5,Lorem ipsum dolor sit amet for Product 17,206562,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg']",1097,200,1089
Product 18,5,Lorem ipsum dolor sit amet for Product 18,256724,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg']",1044,200,1035
Product 19,1,Lorem ipsum dolor sit amet for Product 19,255242,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg']",1049,200,1039
Product 20,1,Lorem ipsum dolor sit amet for Product 20,349159,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg']",1241,200,1233
Product 21,4,Lorem ipsum dolor sit amet for Product 21,971943,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg']",1039,200,1031
Product 22,4,Lorem ipsum dolor sit amet for Product 22,942963,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg']",1015,200,1006
Product 23,5,Lorem ipsum dolor sit amet for Product 23,165356,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg']",1026,200,1017
Product 24,4,Lorem ipsum dolor sit amet for Product 24,792489,,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg', 'http://localhost:3004/http://localhost:3004/img/products/03.jpg', 'http://localhost:3004/http://localhost:3004/img/products/04.jpg']",1026,200,1018
Product 25,3,Lorem ipsum dolor sit amet for Product 25,347727,$150.00,$100.00,"['http://localhost:3004/http://localhost:3004/img/products/05.jpg', 'http://localhost:3004/http://localhost:3004/img/products/01.jpg', 'http://localhost:3004/http://localhost:3004/img/products/02.jpg']",1023,200,1016
