titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code,request_time
Product 1,4,Lorem ipsum dolor sit amet for Product 1,406558,,100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2091
Product 2,4,Lorem ipsum dolor sit amet for Product 2,140498,,100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2081
Product 3,4,Lorem ipsum dolor sit amet for Product 3,364171,150.00,100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2063
Product 4,4,Lorem ipsum dolor sit amet for Product 4,949962,,100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2057
Product 5,4,Lorem ipsum dolor sit amet for Product 5,829538,,100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2090
Product 6,4,Lorem ipsum dolor sit amet for Product 6,382860,,100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2065
Product 7,4,Lorem ipsum dolor sit amet for Product 7,168256,,100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2068
Product 8,4,Lorem ipsum dolor sit amet for Product 8,376260,,100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2051
Product 9,4,Lorem ipsum dolor sit amet for Product 9,261993,,100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2064
Product 10,4,Lorem ipsum dolor sit amet for Product 10,779439,150.00,100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2058
Product 11,4,Lorem ipsum dolor sit amet for Product 11,814413,150.00,100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2055
Product 12,4,Lorem ipsum dolor sit amet for Product 12,891606,150.00,100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2064
Product 13,4,Lorem ipsum dolor sit amet for Product 13,851408,150.00,100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2067
Product 14,4,Lorem ipsum dolor sit amet for Product 14,414995,,100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2064
Product 15,4,Lorem ipsum dolor sit amet for Product 15,532494,150.00,100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2060
Product 16,4,Lorem ipsum dolor sit amet for Product 16,393415,,100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2055
Product 17,4,Lorem ipsum dolor sit amet for Product 17,206562,,100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2072
Product 18,4,Lorem ipsum dolor sit amet for Product 18,256724,150.00,100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2096
Product 19,4,Lorem ipsum dolor sit amet for Product 19,255242,,100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2057
Product 20,4,Lorem ipsum dolor sit amet for Product 20,349159,150.00,100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2093
Product 21,4,Lorem ipsum dolor sit amet for Product 21,971943,,100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2058
Product 22,4,Lorem ipsum dolor sit amet for Product 22,942963,150.00,100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2064
Product 23,4,Lorem ipsum dolor sit amet for Product 23,165356,,100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2080
Product 24,4,Lorem ipsum dolor sit amet for Product 24,792489,,100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2086
Product 25,4,Lorem ipsum dolor sit amet for Product 25,347727,150.00,100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2097
