titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code,request_time
Product 1,4.0,Lorem ipsum dolor sit amet for Product 1,Article number: 406558,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2044
Product 2,4.0,Lorem ipsum dolor sit amet for Product 2,Article number: 140498,,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2037
Product 3,4.0,Lorem ipsum dolor sit amet for Product 3,Article number: 364171,$150.00,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2066
Product 4,,Lorem ipsum dolor sit amet for Product 4,Article number: 949962,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2040
Product 5,4.0,Lorem ipsum dolor sit amet for Product 5,Article number: 829538,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2025
Product 6,4.0,Lorem ipsum dolor sit amet for Product 6,Article number: 382860,,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2044
Product 7,4.0,Lorem ipsum dolor sit amet for Product 7,Article number: 168256,,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2027
Product 8,4.0,Lorem ipsum dolor sit amet for Product 8,Article number: 376260,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2041
Product 9,4.0,Lorem ipsum dolor sit amet for Product 9,Article number: 261993,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2037
Product 10,4.0,Lorem ipsum dolor sit amet for Product 10,Article number: 779439,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2050
Product 11,4.0,Lorem ipsum dolor sit amet for Product 11,Article number: 814413,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2048
Product 12,4.0,Lorem ipsum dolor sit amet for Product 12,Article number: 891606,$150.00,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2032
Product 13,4.0,Lorem ipsum dolor sit amet for Product 13,Article number: 851408,$150.00,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2050
Product 14,4.0,Lorem ipsum dolor sit amet for Product 14,Article number: 414995,,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2041
Product 15,4.0,Lorem ipsum dolor sit amet for Product 15,Article number: 532494,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2049
Product 16,,Lorem ipsum dolor sit amet for Product 16,Article number: 393415,,$100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2037
Product 17,,Lorem ipsum dolor sit amet for Product 17,Article number: 206562,,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2059
Product 18,,Lorem ipsum dolor sit amet for Product 18,Article number: 256724,$150.00,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2070
Product 19,4.0,Lorem ipsum dolor sit amet for Product 19,Article number: 255242,,$100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2028
Product 20,4.0,Lorem ipsum dolor sit amet for Product 20,Article number: 349159,$150.00,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2047
Product 21,4.0,Lorem ipsum dolor sit amet for Product 21,Article number: 971943,,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2042
Product 22,4.0,Lorem ipsum dolor sit amet for Product 22,Article number: 942963,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2031
Product 23,,Lorem ipsum dolor sit amet for Product 23,Article number: 165356,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2033
Product 24,4.0,Lorem ipsum dolor sit amet for Product 24,Article number: 792489,,$100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2025
Product 25,4.0,Lorem ipsum dolor sit amet for Product 25,Article number: 347727,$150.00,$100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2034
Product 26,4.0,Lorem ipsum dolor sit amet for Product 26,Article number: 988437,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2053
Product 27,4.0,Lorem ipsum dolor sit amet for Product 27,Article number: 359567,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2029
Product 28,4.0,Lorem ipsum dolor sit amet for Product 28,Article number: 170397,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2029
Product 29,4.0,Lorem ipsum dolor sit amet for Product 29,Article number: 170801,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2030
Product 30,4.0,Lorem ipsum dolor sit amet for Product 30,Article number: 971808,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2031
Product 31,4.0,Lorem ipsum dolor sit amet for Product 31,Article number: 359893,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2054
Product 32,4.0,Lorem ipsum dolor sit amet for Product 32,Article number: 461059,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2030
Product 33,,Lorem ipsum dolor sit amet for Product 33,Article number: 383884,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2061
Product 34,4.0,Lorem ipsum dolor sit amet for Product 34,Article number: 232222,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2049
Product 35,,Lorem ipsum dolor sit amet for Product 35,Article number: 292479,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2025
Product 36,4.0,Lorem ipsum dolor sit amet for Product 36,Article number: 322088,,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2031
Product 37,,Lorem ipsum dolor sit amet for Product 37,Article number: 750856,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2082
Product 38,4.0,Lorem ipsum dolor sit amet for Product 38,Article number: 815847,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2026
Product 39,4.0,Lorem ipsum dolor sit amet for Product 39,Article number: 481219,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2057
Product 40,4.0,Lorem ipsum dolor sit amet for Product 40,Article number: 382004,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2027
Product 41,4.0,Lorem ipsum dolor sit amet for Product 41,Article number: 557487,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2045
Product 42,4.0,Lorem ipsum dolor sit amet for Product 42,Article number: 139654,,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2077
Product 43,,Lorem ipsum dolor sit amet for Product 43,Article number: 467323,,$100.00,"['http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2043
Product 44,,Lorem ipsum dolor sit amet for Product 44,Article number: 789463,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2029
Product 45,4.0,Lorem ipsum dolor sit amet for Product 45,Article number: 286172,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2041
Product 46,4.0,Lorem ipsum dolor sit amet for Product 46,Article number: 375976,$150.00,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2028
Product 47,,Lorem ipsum dolor sit amet for Product 47,Article number: 520488,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2100
Product 48,4.0,Lorem ipsum dolor sit amet for Product 48,Article number: 756073,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2030
Product 49,4.0,Lorem ipsum dolor sit amet for Product 49,Article number: 401204,$150.00,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2039
Product 50,,Lorem ipsum dolor sit amet for Product 50,Article number: 493916,$150.00,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2047
Product 51,4.0,Lorem ipsum dolor sit amet for Product 51,Article number: 626797,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2036
Product 52,4.0,Lorem ipsum dolor sit amet for Product 52,Article number: 976649,$150.00,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2030
Product 53,4.0,Lorem ipsum dolor sit amet for Product 53,Article number: 689528,$150.00,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2041
Product 54,4.0,Lorem ipsum dolor sit amet for Product 54,Article number: 203613,,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2049
Product 55,4.0,Lorem ipsum dolor sit amet for Product 55,Article number: 553099,$150.00,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2049
Product 56,4.0,Lorem ipsum dolor sit amet for Product 56,Article number: 830086,$150.00,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2034
Product 57,4.0,Lorem ipsum dolor sit amet for Product 57,Article number: 985900,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2046
Product 58,,Lorem ipsum dolor sit amet for Product 58,Article number: 384021,,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2031
Product 59,4.0,Lorem ipsum dolor sit amet for Product 59,Article number: 278838,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2033
Product 60,4.0,Lorem ipsum dolor sit amet for Product 60,Article number: 387106,,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2027
Product 61,4.0,Lorem ipsum dolor sit amet for Product 61,Article number: 550089,$150.00,$100.00,"['http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/02.jpg']",200,2026
Product 62,4.0,Lorem ipsum dolor sit amet for Product 62,Article number: 232880,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/05.jpg']",200,2028
Product 63,4.0,Lorem ipsum dolor sit amet for Product 63,Article number: 937562,$150.00,$100.00,"['http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2109
Product 64,4.0,Lorem ipsum dolor sit amet for Product 64,Article number: 477443,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/01.jpg']",200,2053
Product 65,4.0,Lorem ipsum dolor sit amet for Product 65,Article number: 595626,,$100.00,"['http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/img/products/03.jpg']",200,2041
Product 66,,Lorem ipsum dolor sit amet for Product 66,Article number: 443304,$150.00,$100.00,"['http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/img/products/04.jpg']",200,2034
