titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code,request_time
Product 1,4,Lorem ipsum dolor sit amet for Product 1,406558,,100.00,"['http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/01.jpg']",200,2077
Product 2,3,Lorem ipsum dolor sit amet for Product 2,140498,,100.00,"['http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/03.jpg']",200,2045
Product 3,3,Lorem ipsum dolor sit amet for Product 3,364171,150.00,100.00,"['http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/05.jpg']",200,2053
Product 4,5,Lorem ipsum dolor sit amet for Product 4,949962,,100.00,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/03.jpg']",200,2081
Product 5,3,Lorem ipsum dolor sit amet for Product 5,829538,,100.00,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/05.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg']",200,2043
Product 6,1,Lorem ipsum dolor sit amet for Product 6,382860,,100.00,"['http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,2035
Product 7,2,Lorem ipsum dolor sit amet for Product 7,168256,,100.00,"['http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/01.jpg']",200,2059
Product 8,1,Lorem ipsum dolor sit amet for Product 8,376260,,100.00,"['http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/02.jpg']",200,2041
Product 9,1,Lorem ipsum dolor sit amet for Product 9,261993,,100.00,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/04.jpg']",200,2055
Product 10,4,Lorem ipsum dolor sit amet for Product 10,779439,150.00,100.00,"['http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/05.jpg', 'http://localhost:3002/img/products/01.jpg']",200,2057
Product 11,2,Lorem ipsum dolor sit amet for Product 11,814413,150.00,100.00,"['http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg', 'http://localhost:3002/img/products/01.jpg']",200,2039
Product 12,2,Lorem ipsum dolor sit amet for Product 12,891606,150.00,100.00,"['http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg']",200,2041
