titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,status_code,page_load_time
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/05.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/01.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
,,,,,,"['http://localhost:3002/img/products/01.jpg', 'http://localhost:3002/img/products/02.jpg', 'http://localhost:3002/img/products/03.jpg', 'http://localhost:3002/img/products/04.jpg', 'http://localhost:3002/img/products/05.jpg']",200,
