titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time,status_code
Product 1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",3.1874630451202393,200
Product 2,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,$150.00,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/01.jpg']",1.291499376296997,200
Product 3,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2480156421661377,200
Product 4,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2429397106170654,200
Product 5,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2444641590118408,200
Product 6,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2781109809875488,200
Product 7,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2525854110717773,200
Product 8,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2528812885284424,200
Product 9,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2462735176086426,200
Product 10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2402210235595703,200
