titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time,status_code
Product 1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.9948747158050537,200
Product 2,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,$150.00,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/01.jpg']",1.2459444999694824,200
Product 3,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.2381417751312256,200
Product 4,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.2574412822723389,200
Product 5,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.2460589408874512,200
Product 6,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.2319438457489014,200
Product 7,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.2408320903778076,200
Product 8,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.238318920135498,200
Product 9,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.2401010990142822,200
Product 10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",Article number: 123456,,$100.00,"['http://localhost:3003/http://localhost:3003/img/products/01.jpg', 'http://localhost:3003/http://localhost:3003/img/products/02.jpg', 'http://localhost:3003/http://localhost:3003/img/products/03.jpg', 'http://localhost:3003/http://localhost:3003/img/products/04.jpg', 'http://localhost:3003/http://localhost:3003/img/products/05.jpg']",1.2609336376190186,200
