titel,rating,descriptie,artikel_nummer,oude_prijs,prijs,fotos,page_load_time
Product 1,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.315589189529419
Product 2,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,$150.00,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/01.jpg']",1.2428369522094727
Product 3,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2390437126159668
Product 4,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2526562213897705
Product 5,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.239729404449463
Product 6,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2435238361358643
Product 7,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.235774040222168
Product 8,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2389352321624756
Product 9,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2421190738677979
Product 10,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin rhoncus arcu turpis, quis sagittis orci dictum non. Etiam id eleifend erat. Donec sit amet nisl id nisi laoreet viverra in ac nibh.",123456,,$100.00,"['http://localhost:3000/http://localhost:3000/img/products/01.jpg', 'http://localhost:3000/http://localhost:3000/img/products/02.jpg', 'http://localhost:3000/http://localhost:3000/img/products/03.jpg', 'http://localhost:3000/http://localhost:3000/img/products/04.jpg', 'http://localhost:3000/http://localhost:3000/img/products/05.jpg']",1.2379286289215088
